LOCAL_PATH,FILE_SIZE,BUCKET_NAME,DESTINATION_KEY,CHECKSUM,CHECKSUM_SIZE,CHECKSUM_KEY
/rds/project/rds-rPTGgs6He74/data/private/VISTA/VIDEO/20141227/v20141227_00020.fit,109569600,dummy_bucket,VIDEO/20141227/v20141227_00020.fit,b'8e931ea511b3cca8780a070300446b83',,
/rds/project/rds-rPTGgs6He74/data/private/VISTA/VIDEO/20141227/v20141227_00031.fit,109892160,dummy_bucket,VIDEO/20141227/v20141227_00031.fit,b'55f2b0015dc96aa41712222262f88955',,
/rds/project/rds-rPTGgs6He74/data/private/VISTA/VIDEO/20141227/v20141227_00033.fit,109946880,dummy_bucket,VIDEO/20141227/v20141227_00033.fit,b'56dac4547fa01e41efbb60a86ea2e247',,
/rds/project/rds-rPTGgs6He74/data/private/VISTA/VIDEO/20141227/v20141227_00040.fit,109840320,dummy_bucket,VIDEO/20141227/v20141227_00040.fit,b'f70b0c95fe4fefc1e630fae927967a97',,
/rds/project/rds-rPTGgs6He74/data/private/VISTA/VIDEO/20141227/v20141227_00035.fit,109915200,dummy_bucket,VIDEO/20141227/v20141227_00035.fit,b'0f51babd28e068872d0dae99b9a280b7',,
/rds/project/rds-rPTGgs6He74/data/private/VISTA/VIDEO/20141227/v20141227_00032.fit,109935360,dummy_bucket,VIDEO/20141227/v20141227_00032.fit,b'a2ccaa6a4977493976130d95ed88dec3',,
/rds/project/rds-rPTGgs6He74/data/private/VISTA/VIDEO/20141227/v20141227_00005.fit,109638720,dummy_bucket,VIDEO/20141227/v20141227_00005.fit,b'9a05b728e21d3698268efddbe90029e7',,
/rds/project/rds-rPTGgs6He74/data/private/VISTA/VIDEO/20141227/v20141227_00030.fit,109880640,dummy_bucket,VIDEO/20141227/v20141227_00030.fit,b'888e21b9203057449b17e0a768b3618e',,
/rds/project/rds-rPTGgs6He74/data/private/VISTA/VIDEO/20141227/v20141227_00036.fit,109929600,dummy_bucket,VIDEO/20141227/v20141227_00036.fit,b'08266f0bab7dc02b8be2348de462f4db',,
/rds/project/rds-rPTGgs6He74/data/private/VISTA/VIDEO/20141227/v20141227_00008_st.fit,86621760,dummy_bucket,VIDEO/20141227/v20141227_00008_st.fit,b'cdeb293ca2fd7ebb64adfc5251c59329',,
/rds/project/rds-rPTGgs6He74/data/private/VISTA/VIDEO/20141227/v20141227_00015_st_cat.fits,5636160,dummy_bucket,VIDEO/20141227/v20141227_00015_st_cat.fits,b'7e32507245a13e9d409267fb2029a07d',,
/rds/project/rds-rPTGgs6He74/data/private/VISTA/VIDEO/20141227/v20141227_00003.fit,109520640,dummy_bucket,VIDEO/20141227/v20141227_00003.fit,b'84643e41091339b9bff9c440ed5f90c3',,
